ejercicio_presupuestario,servicio_id,programa_id,programa_desc,subprograma_id,subprograma_desc,proyecto_id,proyecto_desc,actividad_id,actividad_desc,obra_id,obra_desc,ultima_actualizacion_fecha
2023,105,23,Investigacion y Aplicaciones no Nucleares,0,Investigacion y Aplicaciones no Nucleares,0,Investigacion y Aplicaciones no Nucleares,2,Acciones para la Investigacion,0,Investigacion y Aplicaciones no Nucleares,2024-07-01 00:00:00
2023,105,23,Investigacion y Aplicaciones no Nucleares,0,Investigacion y Aplicaciones no Nucleares,0,Investigacion y Aplicaciones no Nucleares,3,Proyectos de Tecnologia e Investigacion en Sistemas de Deteccion y Ciencias del Universo,0,Investigacion y Aplicaciones no Nucleares,2024-07-01 00:00:00
2023,105,23,Investigacion y Aplicaciones no Nucleares,0,Investigacion y Aplicaciones no Nucleares,0,Investigacion y Aplicaciones no Nucleares,4,Coordinacion y Administracion Proyecto International Center for Sciences (ICES),0,Investigacion y Aplicaciones no Nucleares,2024-07-01 00:00:00
2023,105,23,Investigacion y Aplicaciones no Nucleares,0,Investigacion y Aplicaciones no Nucleares,16,Desarrollo y Fabricacion de Instrumentos de Caracterizacion de Materiales Utilizando Haces de Neutrones del RA - 10,0,Desarrollo y Fabricacion de Instrumentos de Caracterizacion de Materiales Utilizando Haces de Neutrones del RA - 10,51,Desarrollo y Fabricacion de Instrumentos de Caracterizacion de Materiales Utilizando Haces de Neutrones del RA - 10,2024-07-01 00:00:00
2023,105,23,Investigacion y Aplicaciones no Nucleares,0,Investigacion y Aplicaciones no Nucleares,17,Modernizacion de la Planta de Produccion Criogenica del Centro Atomico Bariloche - Fase II,0,Modernizacion de la Planta de Produccion Criogenica del Centro Atomico Bariloche - Fase II,51,Modernizacion de la Planta de Produccion Criogenica del Centro Atomico Bariloche - Fase II,2024-07-01 00:00:00
2023,105,23,Investigacion y Aplicaciones no Nucleares,0,Investigacion y Aplicaciones no Nucleares,19,Desarrollo Tecnol. Cuanticas en Sensores de Ultra-alta Sensibilidad e Imagenes Medicas con Resol.Micrometrica- Centro Atom Bche,0,Desarrollo Tecnol. Cuanticas en Sensores de Ultra-alta Sensibilidad e Imagenes Medicas con Resol.Micrometrica- Centro Atom Bche,51,Desarrollo Tecnol. Cuanticas en Sensores de Ultra-alta Sensibilidad e Imagenes Medicas con Resol.Micrometrica- Centro Atom Bche,2024-07-01 00:00:00
2023,105,24,Suministros y Tecnologia del Ciclo de Combustible Nuclear,0,Suministros y Tecnologia del Ciclo de Combustible Nuclear,0,Suministros y Tecnologia del Ciclo de Combustible Nuclear,1,Geologia y Exploracion de Uranio,0,Suministros y Tecnologia del Ciclo de Combustible Nuclear,2024-07-01 00:00:00
2023,105,24,Suministros y Tecnologia del Ciclo de Combustible Nuclear,0,Suministros y Tecnologia del Ciclo de Combustible Nuclear,0,Suministros y Tecnologia del Ciclo de Combustible Nuclear,2,Produccion de Materias Primas Nucleares,0,Suministros y Tecnologia del Ciclo de Combustible Nuclear,2024-07-01 00:00:00
2023,105,24,Suministros y Tecnologia del Ciclo de Combustible Nuclear,0,Suministros y Tecnologia del Ciclo de Combustible Nuclear,0,Suministros y Tecnologia del Ciclo de Combustible Nuclear,3,Tecnologia de Combustibles Nucleares,0,Suministros y Tecnologia del Ciclo de Combustible Nuclear,2024-07-01 00:00:00
2023,105,24,Suministros y Tecnologia del Ciclo de Combustible Nuclear,0,Suministros y Tecnologia del Ciclo de Combustible Nuclear,1,Perforacion Yacimiento de Uranio Cerro Solo,0,Perforacion Yacimiento de Uranio Cerro Solo,51,Perforacion Yacimiento de Uranio Cerro Solo,2024-07-01 00:00:00
2023,105,24,Suministros y Tecnologia del Ciclo de Combustible Nuclear,0,Suministros y Tecnologia del Ciclo de Combustible Nuclear,2,Perforacion Yacimiento de Uranio Noroeste Argentino,0,Perforacion Yacimiento de Uranio Noroeste Argentino,51,Perforacion Yacimiento de Uranio Noroeste Argentino,2024-07-01 00:00:00
2023,105,24,Suministros y Tecnologia del Ciclo de Combustible Nuclear,0,Suministros y Tecnologia del Ciclo de Combustible Nuclear,3,Recuperacion del Yacimiento Don Otto para la Extraccion de Uranio - Salta,0,Recuperacion del Yacimiento Don Otto para la Extraccion de Uranio - Salta,51,Recuperacion del Yacimiento Don Otto para la Extraccion de Uranio - Salta,2024-07-01 00:00:00
2023,105,24,Suministros y Tecnologia del Ciclo de Combustible Nuclear,0,Suministros y Tecnologia del Ciclo de Combustible Nuclear,6,Remediacion de Pasivos Complejo Minero Fabril San Rafael - Mendoza,0,Remediacion de Pasivos Complejo Minero Fabril San Rafael - Mendoza,51,Remediacion de Pasivos Complejo Minero Fabril San Rafael - Mendoza,2024-07-01 00:00:00
2023,105,24,Suministros y Tecnologia del Ciclo de Combustible Nuclear,0,Suministros y Tecnologia del Ciclo de Combustible Nuclear,11,Exploracion de Uranio Cuenca Neuquina - Atlantica y Cuenca Cuyana,0,Exploracion de Uranio Cuenca Neuquina - Atlantica y Cuenca Cuyana,51,Exploracion de Uranio Cuenca Neuquina - Atlantica y Cuenca Cuyana,2024-07-01 00:00:00
2023,105,24,Suministros y Tecnologia del Ciclo de Combustible Nuclear,0,Suministros y Tecnologia del Ciclo de Combustible Nuclear,12,Implementacion del Equipamiento en Celdas Blindadas y Cajas de Guantes para la Recuperacion de Material Nuclear de Blancos de Ir,0,Implementacion del Equipamiento en Celdas Blindadas y Cajas de Guantes para la Recuperacion de Material Nuclear de Blancos de Ir,51,Implementacion del Equipamiento en Celdas Blindadas y Cajas de Guantes para la Recuperacion de Material Nuclear de Blancos de Ir,2024-07-01 00:00:00
2023,105,24,Suministros y Tecnologia del Ciclo de Combustible Nuclear,0,Suministros y Tecnologia del Ciclo de Combustible Nuclear,17,Evaluacion de Recursos Uraniferos en la Provincia de la Rioja,0,Evaluacion de Recursos Uraniferos en la Provincia de la Rioja,51,Evaluacion de Recursos Uraniferos en la Provincia de la Rioja,2024-07-01 00:00:00
2023,105,24,Suministros y Tecnologia del Ciclo de Combustible Nuclear,0,Suministros y Tecnologia del Ciclo de Combustible Nuclear,19,Reparacion y Modernizacion del Edificio Ingenieria de Plantas Quimicas (IPQ) y Anexos del Centro Atomico Ezeiza,0,Reparacion y Modernizacion del Edificio Ingenieria de Plantas Quimicas (IPQ) y Anexos del Centro Atomico Ezeiza,51,Reparacion y Modernizacion del Edificio Ingenieria de Plantas Quimicas (IPQ) y Anexos del Centro Atomico Ezeiza,2024-07-01 00:00:00
2023,105,24,Suministros y Tecnologia del Ciclo de Combustible Nuclear,0,Suministros y Tecnologia del Ciclo de Combustible Nuclear,24,Gestion de Pasivos en Disposicion Transitoria del Complejo Minero Fabril San Rafael,0,Gestion de Pasivos en Disposicion Transitoria del Complejo Minero Fabril San Rafael,51,Gestion de Pasivos en Disposicion Transitoria del Complejo Minero Fabril San Rafael,2024-07-01 00:00:00
2023,105,24,Suministros y Tecnologia del Ciclo de Combustible Nuclear,0,Suministros y Tecnologia del Ciclo de Combustible Nuclear,25,Exploracion Integral y Evaluacion de Recursos en la Cuenca Cañadon Asfalto  Y El Macizo del Deseado y Sus Areas de Influencia,0,Exploracion Integral y Evaluacion de Recursos en la Cuenca Cañadon Asfalto  Y El Macizo del Deseado y Sus Areas de Influencia,51,Exploracion Integral y Evaluacion de Recursos en la Cuenca Cañadon Asfalto  Y El Macizo del Deseado y Sus Areas de Influencia,2024-07-01 00:00:00
2023,105,25,Coordinacion del Plan Nacional de Medicina,0,Coordinacion del Plan Nacional de Medicina,0,Coordinacion del Plan Nacional de Medicina,1,Coordinacion Tecnica y Administrativa,0,Coordinacion del Plan Nacional de Medicina,2024-07-01 00:00:00
2023,106,1,Actividades Centrales,0,Actividades Centrales,0,Actividades Centrales,1,Actividades Centrales,0,Actividades Centrales,2024-07-01 00:00:00
2023,106,16,Generacion de Ciclos de Informacion Espacial Completos,0,Generacion de Ciclos de Informacion Espacial Completos,0,Generacion de Ciclos de Informacion Espacial Completos,1,Generacion y Uso de la Informacion de Origen Espacial,0,Generacion de Ciclos de Informacion Espacial Completos,2024-07-01 00:00:00
2023,106,16,Generacion de Ciclos de Informacion Espacial Completos,0,Generacion de Ciclos de Informacion Espacial Completos,0,Generacion de Ciclos de Informacion Espacial Completos,2,Operacion de Estaciones Terrenas y Prestaciones de Servicios Tecnologicos,0,Generacion de Ciclos de Informacion Espacial Completos,2024-07-01 00:00:00
2023,106,16,Generacion de Ciclos de Informacion Espacial Completos,0,Generacion de Ciclos de Informacion Espacial Completos,0,Generacion de Ciclos de Informacion Espacial Completos,3,"Investigacion, Desarrollo y Docencia en el Instituto Gulich",0,Generacion de Ciclos de Informacion Espacial Completos,2024-07-01 00:00:00
2023,106,16,Generacion de Ciclos de Informacion Espacial Completos,0,Generacion de Ciclos de Informacion Espacial Completos,2,Misiones Satelitales,0,Misiones Satelitales,52,Mision SAOCOM (BID N° 1777/ OC-AR) / (BID N° 4840/ OC-AR),2024-07-01 00:00:00
2023,106,16,Generacion de Ciclos de Informacion Espacial Completos,0,Generacion de Ciclos de Informacion Espacial Completos,9,Misiones Satelitales - Etapa III (CAF N° 8700),0,Misiones Satelitales - Etapa III (CAF N° 8700),51,Misiones SABIAMAR (CAF N° 8700),2024-07-01 00:00:00
2023,106,16,Generacion de Ciclos de Informacion Espacial Completos,0,Generacion de Ciclos de Informacion Espacial Completos,12,Construccion del Satelite SAOCOM 2 A/B,0,Construccion del Satelite SAOCOM 2 A/B,51,Construccion del Satelite SAOCOM 2 A/B,2024-07-01 00:00:00
2023,106,17,Investigacion y Desarrollo de Medios de Acceso al Espacio,0,Investigacion y Desarrollo de Medios de Acceso al Espacio,5,"Construccion de Vehiculos Lanzadores Tronador II A, B y C",0,"Construccion de Vehiculos Lanzadores Tronador II A, B y C",51,"Construccion de Vehiculos Lanzadores Tronador II A, B y C",2024-07-01 00:00:00
2023,106,17,Investigacion y Desarrollo de Medios de Acceso al Espacio,0,Investigacion y Desarrollo de Medios de Acceso al Espacio,5,"Construccion de Vehiculos Lanzadores Tronador II A, B y C",1,Direccion y Conduccion del Proyecto,0,"Construccion de Vehiculos Lanzadores Tronador II A, B y C",2024-07-01 00:00:00
